generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
56000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.324,2.55966,0.104211,3.62294,0
56000,Stipa_pennata,Bromus_erectus,347.494,7.77227,0.122451,7.10228,0
56000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0590617,1.75686,0
56000,Althaea_officinalis,Malva_pusilla,335.891,3.37374,0.0318588,4.14469,0
56000,Calendula_officinalis,Scorzonera_hispanica,314.114,1.20651,0.0043902,1.04522,0
56000,Teucrium_montanum,Salvia_glutinosa,324.57,2.46638,0.058259,3.5737,0
56000,Ranunculus_aconitifolius,Ranunculus_auricomus,337.703,0.992248,0.0728889,0.750705,0
56000,Liriodendron_tulipifera,NA,242.815,0.104563,-0.0407505,0.00688781,0
57000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
57000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.324,2.55966,0.104211,3.62294,0
57000,Stipa_pennata,Bromus_erectus,347.494,7.46208,0.121364,6.55701,0
57000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0590617,1.75686,0
57000,Alyssum_alyssoides,Thlaspi_perfoliatum,343.157,1.83204,0.0494163,0.457183,0
57000,Althaea_officinalis,Malva_pusilla,331.548,3.37374,0.0280321,4.14469,0
57000,Calendula_officinalis,Scorzonera_hispanica,312.343,1.20651,0.0043902,1.03909,0
57000,Teucrium_montanum,Salvia_glutinosa,325.817,2.46638,0.058259,3.5737,0
57000,Ranunculus_aconitifolius,Ranunculus_auricomus,335.082,1.005,0.0668234,0.770217,0
57000,Liriodendron_tulipifera,NA,223.153,0.0928462,-0.0252405,0.000749414,0
58000,Juncus_atratus,Cedrus_atlantica,0,0.259443,0.00532674,0.374192,0
58000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.331,2.55966,0.104211,3.62294,0
58000,Stipa_pennata,Bromus_erectus,347.677,7.46208,0.109808,6.55701,0
58000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0590617,1.75686,0
58000,Arabis_turrita,Alyssum_alyssoides,341.995,1.10454,0.0823956,0.417671,0
58000,Althaea_officinalis,Malva_pusilla,331.834,3.37374,0.028261,4.14469,0
58000,Calendula_officinalis,Scorzonera_hispanica,311.904,1.20651,0.0043902,1.01929,0
58000,Teucrium_montanum,Salvia_glutinosa,323.426,2.51472,0.0552986,3.59111,0
58000,Ranunculus_aconitifolius,Ranunculus_auricomus,335.994,0.98023,0.0389557,0.770217,0
58000,Liriodendron_tulipifera,NA,229.675,0.130677,-0.0515082,0.00174446,0
59000,Juncus_atratus,Cedrus_atlantica,0,0.259424,0.00532674,0.374192,0
59000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.331,2.55966,0.104211,3.62294,0
59000,Stipa_pennata,Bromus_erectus,347.677,7.46208,0.124233,6.50622,0
59000,Nardus_stricta,Molinia_caerulea,324.662,1.35777,0.0593666,1.75686,0
59000,Thlaspi_arvense,Lunaria_rediviva,334.574,1.10454,0.0342185,0.770421,0
59000,Althaea_officinalis,Malva_pusilla,331.135,3.37374,0.028261,4.14469,0
59000,Calendula_officinalis,Scorzonera_hispanica,311.707,1.20651,0.0043902,1.01929,0
59000,Teucrium_montanum,Salvia_glutinosa,324.47,2.51472,0.0552986,3.59111,0
59000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.08,0.919714,0.123986,0.685743,0
59000,Liriodendron_tulipifera,NA,225.418,0.376286,-0.053052,0.0293739,0
60000,Juncus_atratus,Cedrus_atlantica,0,0.259424,0.00532674,0.374192,0
60000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.331,2.55966,0.105305,3.62294,0
60000,Stipa_pennata,Bromus_erectus,347.677,7.46208,0.127432,6.97206,0
60000,Nardus_stricta,Molinia_caerulea,324.685,1.35777,0.0593666,1.75686,0
60000,Thlaspi_arvense,Lunaria_rediviva,336.526,1.10454,0.0342185,0.690389,0
60000,Althaea_officinalis,Malva_pusilla,330.248,3.37249,0.0257749,4.14469,0
60000,Calendula_officinalis,Scorzonera_hispanica,312.573,1.20651,0.0043902,1.04989,0
60000,Teucrium_montanum,Salvia_glutinosa,325.373,2.51472,0.0552986,3.59111,0
60000,Ranunculus_aconitifolius,Ranunculus_auricomus,341.02,0.901803,0.0187061,0.0586385,0
60000,Asarum_europaeum,Liriodendron_tulipifera,198.134,0.278837,-0.04474,0.0161188,0
61000,Juncus_atratus,Cedrus_atlantica,0,0.259424,0.00532674,0.374192,0
61000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.471,2.55966,0.0993646,3.62545,0
61000,Stipa_pennata,Bromus_erectus,347.677,7.79756,0.12296,6.97206,0
61000,Nardus_stricta,Molinia_caerulea,324.685,1.35777,0.0593666,1.75686,0
61000,Thlaspi_arvense,Lunaria_rediviva,334.925,1.10454,0.0343551,0.745613,0
61000,Althaea_officinalis,Malva_pusilla,331.434,3.37249,0.0257749,4.14469,0
61000,Calendula_officinalis,Scorzonera_hispanica,311.459,1.20651,0.0043902,1.04989,0
61000,Teucrium_montanum,Salvia_glutinosa,326.17,2.51472,0.0552986,3.59111,0
61000,Ranunculus_aconitifolius,Ranunculus_auricomus,340.169,1.01799,0.00718028,0.240357,0
61000,Asarum_europaeum,Liriodendron_tulipifera,201.861,0.241254,-0.0678542,0.0127166,0
62000,Juncus_atratus,Cedrus_atlantica,0,0.259424,0.00532674,0.374192,0
62000,Rhynchospora_fusca,Eleocharis_quinqueflora,334.131,2.55966,0.104671,3.62545,0
62000,Stipa_pennata,Bromus_erectus,347.332,7.79756,0.101554,7.03044,0
62000,Nardus_stricta,Molinia_caerulea,324.685,1.35777,0.0593666,1.75686,0
62000,Thlaspi_arvense,Lunaria_rediviva,337.736,1.21983,0.0734176,0.972195,0
62000,Althaea_officinalis,Malva_pusilla,327.05,3.38607,0.0257749,4.16316,0
62000,Calendula_officinalis,Scorzonera_hispanica,311.459,1.20651,0.0043902,1.04989,0
62000,Teucrium_montanum,Salvia_glutinosa,326.86,2.51808,0.0539507,3.59111,0
