"","species","val"
"540","Cytisus_sessilifolius",0.657055853
"541","Melilotus_altissima",0.574031268
"542","Melilotus_sulcata",0.627365857
"543","Lathyrus_annuus",0.722633923
"544","Chamaespartium_sagittale",0.559906625
"545","Astragalus_danicus",0.558708571
"546","Chamaecytisus_purpureus",0.650307523
"547","Chamaecytisus_hirsutus",0.646403726
"548","Ononis_repens",0.670245853
"549","Robinia_pseudacacia",0.757396029
"550","Coronilla_varia",0.584331224
"551","Coronilla_emerus",0.649334859
"552","Vicia_sylvatica",0.702430536
"553","Polygala_nicaeensis",0.544068044
"554","Polygala_chamaebuxus",0.614897216
"555","Polygala_vulgaris",0.320146286
"556","Polygala_amarella",0.465382851
"557","Polygala_comosa",0.356025857
"558","Polygala_amara",0.440909082
"559","Viola_riviniana",0.583198774
"560","Viola_pumila",0.540329475
"561","Viola_lutea",0.537819095
"562","Viola_hirta",0.397940009
"563","Viola_canina",0.57863921
"564","Viola_elatior",0.571708832
"565","Viola_arvensis",0.546542663
"566","Viola_tricolor",0.565847819
"567","Salix_aurita",-0.721246399
"568","Salix_helvetica",-0.735111374
"569","Populus_tremula",-0.958607315
"570","Populus_nigra",-0.48148606
"571","Salix_fragilis",-0.638272164
"572","Salix_pentandra",-0.619788758
"573","Salix_hastata",-0.891198276
"574","Salix_herbacea",-0.522878745
"575","Salix_caprea",-0.886056648
"576","Salix_reticulata",-0.494850022
"577","Salix_glauca",-0.638272164
"578","Salix_lapponum",-0.522878745
"579","Salix_repens",-0.795880017
"580","Salix_myrsinites",-0.677780705
"581","Salix_retusa",-0.592796112
"582","Salix_viminalis",-0.795880017
"583","Euphorbia_brittingeri",0.42975228
"584","Ricinus_communis",0.787460475
"585","Mercurialis_annua",0.57863921
"586","Mercurialis_perennis",0.664641976
"587","Euphorbia_cyparissias",0.596597096
"588","Euphorbia_variabilis",0.491361694
"589","Hypericum_pulchrum",0.243038049
"590","Hypericum_elodes",0.281033367
"591","Hypericum_perforatum",0.352182518
"592","Hypericum_maculatum",0.28780173
"593","Hypericum_hirsutum",0.214843848
"594","Hypericum_montanum",0.212187604
"595","Hypericum_humifusum",0.212187604
"596","Linum_viscosum",0.44870632
"597","Radiola_linoides",0.037426498
"598","Linum_catharticum",0.356025857
"599","Linum_tenuifolium",0.63748973
"600","Linum_flavum",0.517195898
"601","Oxalis_acetosella",0.495544338
"602","Parnassia_palustris",0.033423755
"603","Saxifraga_bryoides",0.106768665
"604","Saxifraga_vandellii",0.139879086
"605","Saxifraga_stellaris",0.225309282
"606","Saxifraga_tridactylites",0.06069784
"607","Saxifraga_androsacea",0.165570741
"608","Saxifraga_aphylla",0.144262774
"609","Saxifraga_hypnoides",0.139879086
"610","Saxifraga_granulata",0.206825876
"611","Saxifraga_hirculus",0.274157849
"612","Saxifraga_paniculata",0.208306962
"613","Saxifraga_rotundifolia",0.220108088
"614","Saxifraga_hostii",0.238046103
"615","Saxifraga_mutata",0.136720567
"616","Saxifraga_aizoides",0.193124598
"617","Saxifraga_biflora",0.213650548
"618","Saxifraga_oppositifolia",0.255730685
"619","Ribes_alpinum",0.64246452
"620","Umbilicus_rupestris",-0.251811973
"621","Sedum_rupestre",0.100370545
"622","Sedum_villosum",0.096910013
"623","Sedum_acre",0.167317335
"624","Sedum_sexangulare",-0.013600038
"625","Sedum_alpestre",0.114911084
"626","Sedum_album",0.187520721
"627","Sempervivum_montanum",0.076749641
"628","Sempervivum_arachnoideum",0.047274867
"629","Paeonia_officinalis",0.704150517
"630","Chenopodium_ficifolium",0.439332694
"631","Chenopodium_bonus-henricus",0.598790507
"632","Chenopodium_glaucum",0.385606274
"633","Amaranthus_retroflexus",0.5289167
"634","Amaranthus_caudatus",0.579783597
"635","Beta_vulgaris",0.67669361
"636","Spinacia_oleracea",0.770852012
"637","Chenopodium_album",0.532754379
"638","Chenopodium_rubrum",0.428134794
"639","Atriplex_hortensis",0.181843588
"640","Atriplex_patula",0.605305046
"641","Atriplex_oblongifolia",0.517195898
"642","Atriplex_prostrata",0.612783857
"643","Atriplex_calotheca",0.522444234
"644","Atriplex_littoralis",0.565847819
"645","Atriplex_tatarica",0.324282455
"646","Suaeda_maritima",0.540329475
"647","Suaeda_vera",0.447158031
"648","Salicornia_europaea",0.376576957
"649","Salsola_kali",0.294466226
"650","Corispermum_intermedium",0.506505032
"651","Atriplex_nitens",0.501059262
"652","Sagina_nodosa",0.021189299
"653","Spergula_morisonii",0.178976947
"654","Lychnis_chalcedonica",0.515873844
"655","Lychnis_flos-cuculi",0.46834733
"656","Spergularia_echinosperma",0.123851641
"657","Herniaria_glabra",0.271841607
"658","Illecebrum_verticillatum",0.075546961
"659","Spergula_arvensis",0.498310554
"660","Spergularia_marina",0.240549248
"661","Arenaria_serpyllifolia",0.356025857
"662","Stellaria_nemorum",0.45331834
"663","Myosoton_aquaticum",0.371067862
"664","Stellaria_media",0.489958479
"665","Stellaria_holostea",0.612783857
"666","Stellaria_graminea",0.495544338
"667","Cerastium_glomeratum",0.397940009
"668","Cerastium_fontanum",0.434568904
"669","Holosteum_umbellatum",0.204119983
"670","Cerastium_semidecandrum",0.214843848
"671","Cerastium_arvense",0.439332694
"672","Cerastium_latifolium",0.344392274
"673","Cerastium_uniflorum",0.174699288
"674","Spergularia_media",0.434568904
"675","Spergularia_rubra",0.225309282
"676","Minuartia_verna",0.252853031
"677","Sagina_saginoides",0.457881897
"678","Sagina_apetala",0.10720997
"679","Sagina_procumbens",0.021189299
"680","Scleranthus_annuus",0.546542663
"681","Scleranthus_perennis",0.369215857
"682","Honkenya_peploides",0.649334859
"683","Gypsophila_elegans",0.681241237
"684","Gypsophila_repens",0.487138375
"685","Saponaria_officinalis",0.624282096
"686","Saponaria_ocymoides",0.661812686
"687","Petrorhagia_prolifera",0.434568904
"688","Dianthus_deltoides",0.394451681
"689","Dianthus_superbus",0.46834733
"690","Dianthus_carthusianorum",0.328379603
"691","Dianthus_monspessulanus",0.482873584
"692","Dianthus_barbatus",0.492760389
"693","Dianthus_sylvestris",0.463892989
"694","Dianthus_seguieri",0.445604203
"695","Agrostemma_githago",0.723455672
"696","Silene_armeria",0.215505378
"697","Silene_rupestris",0.161368002
"698","Silene_otites",0.492760389
"699","Silene_saxifraga",0.444044796
"700","Silene_nutans",0.562292864
"701","Silene_acaulis",0.068185862
"702","Silene_noctiflora",0.627365857
"703","Silene_dioica",0.588831726
"704","Silene_latifolia",0.598790507
"705","Silene_uniflora",0.591064607
"706","Silene_vulgaris",0.62324929
"707","Arenaria_ciliata",0.310268367
"708","Silene_chlorantha",0.394451681
"709","Stellaria_uliginosa",0.250420002
"710","Stellaria_palustris",0.499687083
"711","Corrigiola_litoralis",0.230448921
